what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.jdt.ui",1327260628049
stopped,bundle,org.hibernate.eclipse.mapper,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.mapper",1327260628049
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.jpt.ui",1327260628049
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.jpt.core",1327260628049
stopped,bundle,org.jboss.tools.hibernate.ui,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.ui",1327260628049
stopped,bundle,org.jboss.tools.seam.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.ui",1327260628049
stopped,bundle,org.hibernate.eclipse.console,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.console",1327260628049
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ui.mbeans",1327260628049
stopped,bundle,org.jboss.tools.bpel.runtimes,0.4.0.v201003031622,"org.jboss.tools.bpel.runtimes",1327260628049
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.webtools",1327260628337
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.wtp.ui",1327260628337
stopped,bundle,org.jboss.ide.eclipse.deployer.ui,1.5.0,"org.jboss.ide.eclipse.deployer.ui",1327260628337
stopped,bundle,org.jboss.ide.eclipse.ejb3.wizards.core,1.0.0,"org.jboss.ide.eclipse.ejb3.wizards.core",1327260628337
stopped,bundle,org.jboss.ide.eclipse.firstrun,1.5.0,"org.jboss.ide.eclipse.firstrun",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.aop.ui,1.1.0,"org.jboss.ide.eclipse.jdt.aop.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.aop.core,1.1.0,"org.jboss.ide.eclipse.jdt.aop.core",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.jsp.ui,1.5.0,"org.jboss.ide.eclipse.jdt.j2ee.jsp.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.jsp.core,1.5.0,"org.jboss.ide.eclipse.jdt.j2ee.jsp.core",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.ui,1.5.0,"org.jboss.ide.eclipse.jdt.j2ee.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.core,1.5.0,"org.jboss.ide.eclipse.jdt.j2ee.core",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.j2ee.xml.ui,1.5.0,"org.jboss.ide.eclipse.jdt.j2ee.xml.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.test.ui,1.5.0,"org.jboss.ide.eclipse.jdt.test.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.ws.ui,1.5.0,"org.jboss.ide.eclipse.jdt.ws.ui",1327260628338
stopped,bundle,org.jboss.ide.eclipse.jdt.ws.core,1.5.0,"org.jboss.ide.eclipse.jdt.ws.core",1327260628339
stopped,bundle,org.jboss.ide.eclipse.jdt.test.core,1.5.0,"org.jboss.ide.eclipse.jdt.test.core",1327260628339
stopped,bundle,org.jboss.ide.eclipse.jdt.ui,1.5.0,"org.jboss.ide.eclipse.jdt.ui",1327260628339
stopped,bundle,org.jboss.ide.eclipse.jdt.core,1.5.0,"org.jboss.ide.eclipse.jdt.core",1327260628339
stopped,bundle,org.jboss.ide.eclipse.deployer.core,1.5.0,"org.jboss.ide.eclipse.deployer.core",1327260628339
stopped,bundle,org.jboss.ide.eclipse.launcher.ui,1.5.0,"org.jboss.ide.eclipse.launcher.ui",1327260628339
stopped,bundle,org.jboss.ide.eclipse.launcher.core,1.5.0,"org.jboss.ide.eclipse.launcher.core",1327260628339
stopped,bundle,org.jboss.ide.eclipse.packaging.ui,1.5.0,"org.jboss.ide.eclipse.packaging.ui",1327260628339
stopped,bundle,org.jboss.ide.eclipse.packaging.core,1.5.0,"org.jboss.ide.eclipse.packaging.core",1327260628340
stopped,bundle,org.jboss.ide.eclipse.xdoclet.assist,1.5.0,"org.jboss.ide.eclipse.xdoclet.assist",1327260628340
